study_id,author,title,journal,year,volume,pages,doi
p451,"Grindstaff, J.L. and Lovern, M.B. and Burtka, J.L. and Hallmark-Sharber, A.","Structural coloration signals condition, parental investment, and circulating hormone levels in Eastern bluebirds (Sialia sialis)","Journal of Comparative Physiology A: Neuroethology, Sensory, Neural, and Behavioral Physiology",2012,198,625-637,10.1007/s00359-012-0735-0
p48,"Kemp, D.J. and Vukusic, P. and Rutowski, R.L.",Stress-mediated covariance between nano-structural architecture and ultraviolet butterfly coloration,Functional Ecology,2006,20,282-289,10.1111/j.1365-2435.2006.01100.x
p529,Kemp and Darrell J.,Resource-mediated condition dependence in sexually dichromatic butterfly wing coloration,EVOLUTION,2008,62,2346-2358,10.1111/j.1558-5646.2008.00461.x
p551,"Griggio M, Zanollo V, Hoi H",UV plumage color is an honest signal of quality in male budgerigars,Ecological research,2010,25,77-82,10.1007/s11284-009-0632-3
p62,"Bitton PP, Dawson RD, Ochs CL","Plumage characteristics, reproductive investment and assortative mating in tree swallows Tachycineta bicolor",Behavioural Ecology and Sociobiology,2008,62,1543-1550,10.1007/s00265-008-0583-7
p682,Viblanc et al.,"Mutually honest? Physiological ‘qualities’ signalled
by colour ornaments in monomorphic king penguin",Biological Journal OF THE LINNEAN SOCIETY,2016,118,200-214,10.1111/bij.12729
p72,"Smiseth, P.T. and rnborg, J. and Andersson, S. and Amundsen, T.",Is male plumage reflectance correlated with paternal care in bluethroats?,Behavioral Ecology,2001,12,164-170,10.1093/beheco/12.2.164
p742,"Beck ML, Hopkins WA, Hawley DM","Relationships among plumage coloration, blood selenium concentrations and immune responses of adult and nestling tree
concentrations and immune responses of adult and nestling tree
swallows",Journal of Experimental Biology,2015,218,3415-3424,10.1242/jeb.123794
p923,Lim and Matthew L. M. and Li and Daiqin,Effects of age and feeding history on structure-based UV ornaments of a jumping spider (Araneae: Salticidae),Proceedings of the Royal Society B: Biological Sciences,2007,274,569-575,10.1098/rspb.2006.0020
p94,"Perrier, C. and De Lope, F. and Mller, A.P. and Ninni, P.",Structural coloration and sexual selection in the barn swallow Hirundo rustica,Behavioral Ecology,2002,13,728-736,10.1093/beheco/13.6.728
p999,"Molnar O, Bajer K, Torok J, Herczeg G",Individual quality and nuptial throat colour in male European green lizards,,2012,287,233-239,10.1111/j.1469-7998.2012.00916.x
p519,"D’Alba L, Hemert CV, Handel CM, Shawkey, MD",,"A Natural Experiment on the Condition-Dependence of
Achromatic Plumage Reflectance in Black-Capped
Chickadees",2011,6,e25877,10.1371/journal.pone.0025877
